country,year,gender,age,suicides_no,population,suicides/100k pop,gdp_for_year,gdp_per_capita,hdi_for_year,total_suicides_year,total_population_year,suicides_to_population_ratio,suicides_to_population_ratio_discretize,gdp_category,gender_encoded,suicides_no_zscore,population_zscore,suicides_to_population_ratio_zscore,gdp_for_year_zscore,gdp_per_capita_zscore,hdi_for_year_zscore,total_suicides_year_category
Albania,1993,male,75+ years,1,24200,4.13,1228071038,437,0.619,73,2807300,4.132231404958678e-05,High,Low,1,-0.9922963389759456,-1.8994711816646583,0.6925373585757693,-1.051889037527056,-1.02704427112126,-0.8823729072009019,51-500
Albania,1993,male,25-34 years,9,230100,3.91,1228071038,437,0.619,73,2807300,3.911342894393742e-05,Medium,Low,1,0.5693503584288212,-0.0347910610174184,0.5846139550359822,-1.051889037527056,-1.02704427112126,-0.8823729072009019,51-500
Albania,1993,female,15-24 years,10,285300,3.51,1228071038,437,0.619,73,2807300,3.505082369435682e-05,Medium,Low,0,0.7645561956044171,0.4651134686558581,0.3861200702015101,-1.051889037527056,-1.02704427112126,-0.8823729072009019,51-500
Albania,1993,male,35-54 years,10,350300,2.85,1228071038,437,0.619,73,2807300,2.8546959748786755e-05,Medium,Low,1,0.7645561956044171,1.0537691648291003,0.0683492946322292,-1.051889037527056,-1.02704427112126,-0.8823729072009019,51-500
Albania,1993,female,25-34 years,7,261800,2.67,1228071038,437,0.619,73,2807300,2.67379679144385e-05,Medium,Low,0,0.1789386840776295,0.252291793885532,-0.0200358165893671,-1.051889037527056,-1.02704427112126,-0.8823729072009019,51-500
Albania,1993,female,35-54 years,7,331200,2.11,1228071038,437,0.619,73,2807300,2.1135265700483093e-05,Medium,Low,0,0.1789386840776295,0.8807949525689631,-0.2937769407444923,-1.051889037527056,-1.02704427112126,-0.8823729072009019,51-500
Albania,1993,female,55-74 years,2,169500,1.18,1228071038,437,0.619,73,2807300,1.1799410029498524e-05,Low,Low,0,-0.7970905018003496,-0.5835992946804721,-0.7499153412398317,-1.051889037527056,-1.02704427112126,-0.8823729072009019,51-500
Albania,1993,female,5-14 years,1,340300,0.29,1228071038,437,0.619,73,2807300,2.938583602703497e-06,Very Low,Low,0,-0.9922963389759456,0.9632067500332172,-1.1828443983959678,-1.051889037527056,-1.02704427112126,-0.8823729072009019,51-500
Albania,1993,male,5-14 years,1,367000,0.27,1228071038,437,0.619,73,2807300,2.7247956403269755e-06,Very Low,Low,1,-0.9922963389759456,1.205008397538226,-1.1932898147177586,-1.051889037527056,-1.02704427112126,-0.8823729072009019,51-500
Albania,1993,female,75+ years,0,39300,0.0,1228071038,437,0.619,73,2807300,0.0,,Low,0,-1.1875021761515412,-1.7627219353228747,-1.3264199710587836,-1.051889037527056,-1.02704427112126,-0.8823729072009019,51-500
Albania,1994,male,75+ years,2,24600,8.13,1985673798,697,0.619,50,2849300,8.130081300813008e-05,Extreme,Low,1,-0.654100987054616,-1.8940333934422136,2.213764050385648,-0.8518398348710596,-0.839264401189548,-0.8823729072009019,0-50
Albania,1994,male,55-74 years,11,171400,6.42,1985673798,697,0.619,50,2849300,6.417736289381563e-05,Very High,Low,1,2.062933882249173,-0.5876909534877076,1.5178873145931642,-0.8518398348710596,-0.839264401189548,-0.8823729072009019,0-50
Albania,1994,female,75+ years,2,39900,5.01,1985673798,697,0.619,50,2849300,5.012531328320802e-05,High,Low,0,-0.654100987054616,-1.7578818993597616,0.9468286582509312,-0.8518398348710596,-0.839264401189548,-0.8823729072009019,0-50
Albania,1994,male,25-34 years,6,231400,2.59,1985673798,697,0.619,50,2849300,2.592912705272256e-05,Medium,Low,1,0.5534700659692903,-0.0537635257133864,-0.0364756980727867,-0.8518398348710596,-0.839264401189548,-0.8823729072009019,0-50
Albania,1994,male,35-54 years,9,362800,2.48,1985673798,697,0.619,50,2849300,2.4807056229327453e-05,Medium,Low,1,1.4591483557372198,1.115537541112377,-0.0820753276275478,-0.8518398348710596,-0.839264401189548,-0.8823729072009019,0-50
Albania,1994,male,15-24 years,6,242200,2.48,1985673798,697,0.619,50,2849300,2.477291494632535e-05,Medium,Low,1,0.5534700659692903,0.0423434112859913,-0.0834627889401141,-0.8518398348710596,-0.839264401189548,-0.8823729072009019,0-50
Albania,1994,female,15-24 years,6,282600,2.12,1985673798,697,0.619,50,2849300,2.1231422505307857e-05,Medium,Low,0,0.5534700659692903,0.4018545459873676,-0.2273848480600133,-0.8518398348710596,-0.839264401189548,-0.8823729072009019,0-50
Albania,1994,female,25-34 years,4,261100,1.53,1985673798,697,0.619,50,2849300,1.5319800842589045e-05,Low,Low,0,-0.0503154605426628,0.2105305510349025,-0.4676261521447539,-0.8518398348710596,-0.839264401189548,-0.8823729072009019,0-50
Albania,1994,female,35-54 years,2,342500,0.58,1985673798,697,0.619,50,2849300,5.839416058394161e-06,Very Low,Low,0,-0.654100987054616,0.9348920947153984,-0.8528977635104631,-0.8518398348710596,-0.839264401189548,-0.8823729072009019,0-50
Albania,1994,female,55-74 years,1,174600,0.57,1985673798,697,0.619,50,2849300,5.72737686139748e-06,Very Low,Low,0,-0.9559937503105924,-0.5592148240064105,-0.8574509038044092,-0.8518398348710596,-0.839264401189548,-0.8823729072009019,0-50
Albania,1994,male,5-14 years,1,371800,0.27,1985673798,697,0.619,50,2849300,2.689618074233459e-06,Very Low,Low,1,-0.9559937503105924,1.195626655278525,-0.9809018237314338,-0.8518398348710596,-0.839264401189548,-0.8823729072009019,0-50
Albania,1994,female,5-14 years,0,344400,0.0,1985673798,697,0.619,50,2849300,0.0,,Low,0,-1.2578865135665689,0.9517997965949184,-1.0902047173382214,-0.8518398348710596,-0.839264401189548,-0.8823729072009019,0-50
Albania,1995,male,25-34 years,13,232900,5.58,2424499009,835,0.619,88,2903400,5.5817947617003005e-05,High,Low,1,1.2349356108966516,-0.0788201666914929,1.36188462652473,-0.735965608692291,-0.7395966240719472,-0.8823729072009019,51-500
Albania,1995,male,55-74 years,9,178000,5.06,2424499009,835,0.619,88,2903400,5.056179775280899e-05,High,Low,1,0.363216356146074,-0.5569668132509367,1.0366942221975084,-0.735965608692291,-0.7395966240719472,-0.8823729072009019,51-500
Albania,1995,female,75+ years,2,40800,4.9,2424499009,835,0.619,88,2903400,4.901960784313725e-05,High,Low,0,-1.1622923396674367,-1.7518979591153387,0.9412811587892768,-0.735965608692291,-0.7395966240719472,-0.8823729072009019,51-500
Albania,1995,female,15-24 years,13,283500,4.59,2424499009,835,0.619,88,2903400,4.585537918871252e-05,High,Low,0,1.2349356108966516,0.3618760139261363,0.7455148998160002,-0.735965608692291,-0.7395966240719472,-0.8823729072009019,51-500
Albania,1995,male,15-24 years,11,241200,4.56,2424499009,835,0.619,88,2903400,4.560530679933665e-05,High,Low,1,0.7990759835213628,-0.0065320580131071,0.7300432820894603,-0.735965608692291,-0.7395966240719472,-0.8823729072009019,51-500
Albania,1995,male,75+ years,1,25100,3.98,2424499009,835,0.619,88,2903400,3.9840637450199205e-05,Medium,Low,1,-1.3802221533550811,-1.8886357068563813,0.3733915113267937,-0.735965608692291,-0.7395966240719472,-0.8823729072009019,51-500
Albania,1995,male,35-54 years,14,375900,3.72,2424499009,835,0.619,88,2903400,3.7243947858473e-05,Medium,Low,1,1.452865424584296,1.1666255611409375,0.212738074864092,-0.735965608692291,-0.7395966240719472,-0.8823729072009019,51-500
Albania,1995,female,25-34 years,7,264000,2.65,2424499009,835,0.619,88,2903400,2.651515151515152e-05,Medium,Low,0,-0.0726432712292147,0.1920425055853503,-0.451037066822078,-0.735965608692291,-0.7395966240719472,-0.8823729072009019,51-500
Albania,1995,female,35-54 years,8,356400,2.24,2424499009,835,0.619,88,2903400,2.244668911335578e-05,Medium,Low,0,0.1452865424584296,0.9967920528001516,-0.7027469623946483,-0.735965608692291,-0.7395966240719472,-0.8823729072009019,51-500
Albania,1995,male,5-14 years,6,376500,1.59,2424499009,835,0.619,88,2903400,1.593625498007968e-05,Low,Low,1,-0.2905730849168591,1.1718512075514234,-1.1055381237669926,-0.735965608692291,-0.7395966240719472,-0.8823729072009019,51-500
Albania,1995,female,55-74 years,2,180400,1.11,2424499009,835,0.619,88,2903400,1.1086474501108647e-05,Low,Low,0,-1.1622923396674367,-0.5360642276089937,-1.405587040864734,-0.735965608692291,-0.7395966240719472,-0.8823729072009019,51-500
Albania,1995,female,5-14 years,2,348700,0.57,2424499009,835,0.619,88,2903400,5.735589331803843e-06,Very Low,Low,0,-1.1622923396674367,0.9297295905322516,-1.7366385817594083,-0.735965608692291,-0.7395966240719472,-0.8823729072009019,51-500
Albania,1996,male,75+ years,2,25400,7.87,3314898292,1127,0.619,89,2940200,7.874015748031496e-05,Very High,Low,1,-0.9060168454222294,-1.888329592041181,1.68909795501855,-0.5008507490135581,-0.5287053855332553,-0.8823729072009019,51-500
Albania,1996,male,15-24 years,17,243600,6.98,3314898292,1127,0.619,89,2940200,6.978653530377669e-05,Very High,Low,1,1.6029528803624056,-0.0121809224651665,1.3323256831982349,-0.5008507490135581,-0.5287053855332553,-0.8823729072009019,51-500
Albania,1996,male,25-34 years,14,235300,5.95,3314898292,1127,0.619,89,2940200,5.949851253718657e-05,High,Low,1,1.1011589352054787,-0.0835467976140249,0.9223819551064388,-0.5008507490135581,-0.5287053855332553,-0.8823729072009019,51-500
Albania,1996,female,15-24 years,16,287700,5.56,3314898292,1127,0.619,89,2940200,5.5613486270420575e-05,High,Low,0,1.4356882319767632,0.3670040286269609,0.76757648979345,-0.5008507490135581,-0.5287053855332553,-0.8823729072009019,51-500
Albania,1996,female,75+ years,2,41200,4.85,3314898292,1127,0.619,89,2940200,4.854368932038835e-05,High,Low,0,-0.9060168454222294,-1.7524764803120283,0.4858684313742896,-0.5008507490135581,-0.5287053855332553,-0.8823729072009019,51-500
Albania,1996,female,25-34 years,10,267900,3.73,3314898292,1127,0.619,89,2940200,3.732736095558044e-05,Medium,Low,0,0.4321003416629093,0.1967577240549853,0.0389347911899854,-0.5008507490135581,-0.5287053855332553,-0.8823729072009019,51-500
Albania,1996,male,35-54 years,12,379600,3.16,3314898292,1127,0.619,89,2940200,3.161222339304531e-05,Medium,Low,1,0.7666296384341941,1.1571876341908276,-0.1887945647900113,-0.5008507490135581,-0.5287053855332553,-0.8823729072009019,51-500
Albania,1996,female,35-54 years,9,362000,2.49,3314898292,1127,0.619,89,2940200,2.4861878453038675e-05,Medium,Low,0,0.264835693277267,1.0058575856824048,-0.4577735156918762,-0.5008507490135581,-0.5287053855332553,-0.8823729072009019,51-500
Albania,1996,male,55-74 years,3,179900,1.67,3314898292,1127,0.619,89,2940200,1.6675931072818232e-05,Low,Low,1,-0.7387521970365871,-0.5598925184871285,-0.783956482345933,-0.5008507490135581,-0.5287053855332553,-0.8823729072009019,51-500
Albania,1996,female,55-74 years,1,183100,0.55,3314898292,1127,0.619,89,2940200,5.461496450027307e-06,Very Low,Low,0,-1.073281493807872,-0.5323779642128698,-1.2308146631654884,-0.5008507490135581,-0.5287053855332553,-0.8823729072009019,51-500
Albania,1996,male,5-14 years,2,380400,0.53,3314898292,1127,0.619,89,2940200,5.257623554153523e-06,Very Low,Low,1,-0.9060168454222294,1.1640662727593922,-1.2389383247171306,-0.5008507490135581,-0.5287053855332553,-0.8823729072009019,51-500
Albania,1996,female,5-14 years,1,354100,0.28,3314898292,1127,0.619,89,2940200,2.824060999717594e-06,Very Low,Low,0,-1.073281493807872,0.9379310298178288,-1.335907754970512,-0.5008507490135581,-0.5287053855332553,-0.8823729072009019,51-500
Albania,1997,male,25-34 years,36,236000,15.25,2359903108,793,0.619,170,2977300,0.0001525423728813,Extreme,Low,1,1.7672070982531929,-0.1027908059384576,1.8341055838236349,-0.7530225139362683,-0.7699302953686082,-0.8823729072009019,51-500
Albania,1997,male,15-24 years,33,244400,13.5,2359903108,793,0.619,170,2977300,0.0001350245499181,Extreme,Low,1,1.5243847488748916,-0.0314810107657355,1.469053070388096,-0.7530225139362683,-0.7699302953686082,-0.8823729072009019,51-500
Albania,1997,male,75+ years,3,25400,11.81,2359903108,793,0.619,170,2977300,0.0001181102362204,Extreme,Low,1,-0.9038387449081212,-1.8906292420545627,1.1165770383289948,-0.7530225139362683,-0.7699302953686082,-0.8823729072009019,51-500
Albania,1997,male,35-54 years,30,380800,7.88,2359903108,793,0.619,170,2977300,7.878151260504202e-05,Very High,Low,1,1.28156239949659,1.1264542346579909,0.2970089084216335,-0.7530225139362683,-0.7699302953686082,-0.8823729072009019,51-500
Albania,1997,female,15-24 years,21,294000,7.14,2359903108,793,0.619,170,2977300,7.142857142857143e-05,Very High,Low,0,0.5530953513616863,0.3895863512065285,0.1437815545858846,-0.7530225139362683,-0.7699302953686082,-0.8823729072009019,51-500
Albania,1997,male,55-74 years,12,180300,6.66,2359903108,793,0.619,170,2977300,6.65557404326123e-05,Very High,Low,1,-0.1753716967732175,-0.5756426620242462,0.0422370186947343,-0.7530225139362683,-0.7699302953686082,-0.8823729072009019,51-500
Albania,1997,female,25-34 years,16,273900,5.84,2359903108,793,0.619,170,2977300,5.841548010222709e-05,High,Low,0,0.1483914357311841,0.2189521984718005,-0.127397216099696,-0.7530225139362683,-0.7699302953686082,-0.8823729072009019,51-500
Albania,1997,female,75+ years,2,42100,4.75,2359903108,793,0.619,170,2977300,4.750593824228028e-05,High,Low,0,-0.9847795280342218,-1.748858577842127,-0.3547402874830538,-0.7530225139362683,-0.7699302953686082,-0.8823729072009019,51-500
Albania,1997,female,35-54 years,7,370100,1.89,2359903108,793,0.619,170,2977300,1.89138070791678e-05,Low,Low,0,-0.5800756124037196,1.035619138426071,-0.9505694248992336,-0.7530225139362683,-0.7699302953686082,-0.8823729072009019,51-500
Albania,1997,female,5-14 years,6,361800,1.66,2359903108,793,0.619,170,2977300,1.658374792703151e-05,Low,Low,0,-0.6610163955298201,0.9651582693863572,-0.999125341449349,-0.7530225139362683,-0.7699302953686082,-0.8823729072009019,51-500
Albania,1997,male,5-14 years,4,381500,1.05,2359903108,793,0.619,170,2977300,1.0484927916120575e-05,Low,Low,1,-0.8228979617820209,1.1323967175890508,-1.1262181644931148,-0.7530225139362683,-0.7699302953686082,-0.8823729072009019,51-500
Albania,1997,female,55-74 years,0,187000,0.0,2359903108,793,0.619,170,2977300,0.0,,Low,0,-1.1466610942864226,-0.5187646111126701,-1.344712739818534,-0.7530225139362683,-0.7699302953686082,-0.8823729072009019,51-500
Albania,1998,male,75+ years,3,25800,11.63,2707123772,899,0.619,154,3012700,0.0001162790697674,Extreme,Low,1,-0.8500876140902449,-1.8896669508040669,1.396684611056608,-0.6613369754901233,-0.6933738868579873,-0.8823729072009019,51-500
Albania,1998,male,15-24 years,27,248800,10.85,2707123772,899,0.619,154,3012700,0.0001085209003215,Extreme,Low,1,1.2247024948757763,-0.0189449056145871,1.2186074647757583,-0.6613369754901233,-0.6933738868579873,-0.8823729072009019,51-500
Albania,1998,female,15-24 years,32,295600,10.83,2707123772,899,0.619,154,3012700,0.0001082543978349,Extreme,Low,0,1.6569504342436974,0.373655057232353,1.2124902998154652,-0.6613369754901233,-0.6933738868579873,-0.8823729072009019,51-500
